cluster_id,latitude,longitude,urban_rural,live_births,u5_deaths,u5mr,survey_year,quality_flag
1080,5.8337,5.09246,R,11.711856000000001,0.0,0.0,2018,sparse
1081,5.427075,5.660753,R,10.804452,0.900371,83.33333333333337,2018,sparse
1082,5.49525,5.692116,R,6.019379999999998,0.401292,71.4285714285714,2018,sparse
1083,5.437819,5.791136,R,28.174313999999995,2.683268,111.11111111111116,2018,sparse
1084,5.358738,5.859203,R,5.2776570000000005,0.0,0.0,2018,sparse
1085,5.095578,5.780362,R,21.590405999999998,3.598401,186.32478632478632,2018,sparse
1086,7.299985,6.106421,U,5.680275999999999,0.811468,257.1428571428571,2018,sparse
1087,7.295495,6.383789,U,40.815799999999996,10.647599999999999,271.81964573268914,2018,sparse
1088,7.103869,6.49134,U,6.707095000000001,0.78907,117.64705882352943,2018,sparse
1089,7.074423,6.297606,U,29.515991999999994,2.459666,83.33333333333337,2018,sparse
1090,6.991105,5.920169,U,36.5066,3.65066,148.80952380952382,2018,sparse
1091,6.692605,6.115578,U,3.1911660000000004,0.0,0.0,2018,sparse
1092,6.793323,6.363386,U,9.575482000000001,0.683963,71.4285714285714,2018,sparse
1093,6.726949,6.27106,U,9.660630000000001,0.0,0.0,2018,sparse
1094,6.525394,6.316954,U,2.78866,0.0,0.0,2018,sparse
1095,6.583466,6.257124,U,6.239860000000001,0.623986,99.99999999999997,2018,sparse
1096,6.366821,5.6115,U,9.055059,0.0,0.0,2018,sparse
1097,6.373568,5.610743,U,6.791292,0.0,0.0,2018,sparse
1098,6.34587,5.607262,U,8.04052,0.0,0.0,2018,sparse
1099,6.337962,5.601805,U,7.5044900000000005,0.0,0.0,2018,sparse
1100,6.352289,5.637398,U,9.871968,0.580704,58.82352941176472,2018,sparse
1101,6.332737,5.642689,U,19.073900999999996,0.908281,47.61904761904767,2018,sparse
1102,6.288592,5.598686,U,2.769516,0.0,0.0,2018,sparse
1103,6.362474,5.68053,U,21.16692,0.0,0.0,2018,sparse
1104,6.313924,5.645037,U,8.912388,0.742699,83.33333333333337,2018,sparse
1105,5.970304,6.172734,U,6.42125,0.0,0.0,2018,sparse
1106,7.461457,6.097019,R,3.149442,0.0,0.0,2018,sparse
1107,7.20121,6.458062,R,2.9500079999999995,0.491668,166.66666666666674,2018,sparse
1108,7.109276,6.334604,R,6.951405999999999,0.993058,191.91919191919203,2018,sparse
1109,7.027749,6.273321,R,15.12504,0.84028,55.55555555555558,2018,sparse
1110,7.179936,6.151244,R,23.103619999999996,2.310362,105.88235294117653,2018,sparse
1111,6.926097,5.93149,R,4.209544,0.0,0.0,2018,sparse
1112,6.49905,6.21441,R,4.62077,0.0,0.0,2018,sparse
1113,6.537283,6.579893,R,19.470052,0.0,0.0,2018,sparse
1114,6.53847,5.743857,R,8.392266,0.932474,111.11111111111116,2018,sparse
1115,6.277916,5.881229,R,3.84292,0.0,0.0,2018,sparse
1116,6.670717,5.758263,R,32.62498,1.631249,55.55555555555558,2018,sparse
1117,6.781523,5.276416,R,9.279854999999998,0.0,0.0,2018,sparse
1118,6.566415,5.343055,R,13.324919999999997,0.0,0.0,2018,sparse
1119,5.937025,6.050052,R,5.422428,0.492948,90.90909090909093,2018,sparse
1120,6.109198,6.046997,R,5.859047999999999,0.0,0.0,2018,sparse
1121,5.334919,6.674962,U,30.593429999999994,4.53236,148.14814814814815,2018,sparse
1122,4.841137,6.659116,U,16.223987,0.0,0.0,2018,sparse
1123,4.751694,6.753103,U,4.041952,0.0,0.0,2018,sparse
1124,4.768584,6.767571,U,9.342403,0.0,0.0,2018,sparse
1125,4.733585,6.866597,U,10.848320000000001,0.0,0.0,2018,sparse
1126,4.733912,6.859862,U,24.0471,5.3438,238.09523809523802,2018,sparse
1127,5.098198,6.816423,U,27.471773999999996,2.497434,129.4642857142857,2018,sparse
1128,4.888055,6.909722,U,61.2442,0.0,0.0,2018,complete
