lga_uid,lga_name,state_name,state_lga,area_sq_km,lga_lat,lga_lon,u5mr_mean,u5mr_median,live_births_sum,u5_deaths_sum,facilities_count,facilities_per_10k,avg_distance_km,urban_prop,population,population_density,access_score,towers_count,tower_density_per_km2,avg_dist_to_tower_km,towers_per_10k_pop,coverage_5km,year
262,Bursari,Yobe,Yobe__Bursari,3848.979826322299,12.97417,11.407463,90.90909090909088,90.90909090909088,31.833824000000003,2.893984,41,2.3062471171911034,6.467979706140381,0.0,177778.0,46.188342891333605,0.7170542635658915,0,0.0,,0.0,84.44988290523496,2013
263,Maiyama,Kebbi,Kebbi__Maiyama,1335.3427702915967,11.916628,4.446005,37.037037037037045,37.037037037037045,56.52639,2.09357,51,1.905359664656699,3.2405322124682385,0.0,267666.0,200.4474101743556,0.6912144702842378,0,0.0,,0.0,296.0815244282795,2013
264,Lagos Island,Lagos,Lagos__Lagos Island,5.146415742547505,6.461548,3.390604,111.11111111111111,111.11111111111111,10.221651,1.135739,73,2.0151661960011373,0.180263855872464,1.0,362253.0,70389.37740787392,0.3068475452196382,0,0.0,,0.0,20496.44201857463,2013
265,Madobi,Kano,Kano__Madobi,284.0805870847776,11.775269,8.291301,127.27272727272732,127.27272727272732,87.47276999999997,11.132898,26,1.1783153715772203,1.9611732317102544,1.0,220654.0,776.7303013005626,0.7054263565891472,0,0.0,,0.0,720.7355569517326,2013
266,Miga,Jigawa,Jigawa__Miga,575.6504910529807,12.275602,9.563036,171.875,171.875,43.9776,7.558650000000001,26,1.3658116335632449,2.647022110132741,0.0,190363.0,330.69197882866,0.7474160206718345,0,0.0,,0.0,347.1041910345987,2013
267,Rimi,Katsina,Katsina__Rimi,491.0027157773279,12.854075421679129,7.7230736534312125,84.61472357186878,68.9655172413793,0.0,0.0,69,2.928991068699698,1.6138112828105229,0.2368421052631578,235576.0,479.7855336238809,0.3856589147286822,0,0.0,,0.0,1100.3038645322283,2013
268,Gabasawa,Kano,Kano__Gabasawa,624.9408833746976,12.167459194061824,8.843320359737334,108.31924971946268,105.08786848072562,0.0,0.0,32,0.9617262987061777,1.36876005437792,0.25,332735.0,532.4263603994382,0.6621447028423773,0,0.0,,0.0,400.30686700273145,2013
269,Aleiro,Kebbi,Kebbi__Aleiro,283.1974715829245,12.273167,4.418655,206.89655172413796,206.89655172413796,32.196612,6.661368,34,3.119466387749672,2.4992674986435985,0.0,108993.0,384.8657242269382,0.4644702842377261,0,0.0,,0.0,763.9806014535461,2013
270,Ungogo,Kano,Kano__Ungogo,225.6820007219088,12.0425,8.4697085,110.70478723404251,110.70478723404251,105.91713900000002,11.345844,64,1.0450105644036745,0.9182388835331652,1.0,612434.0,2713.703343824292,0.5943152454780362,0,0.0,,0.0,2850.8363317610465,2013
271,Tambuwal,Sokoto,Sokoto__Tambuwal,1944.692379271127,12.3965565,4.8132555,65.49657534246576,65.49657534246576,79.944049,5.274897000000001,58,1.6826860310948777,1.0677302321625075,0.0,344687.0,177.24499960718163,0.5090439276485788,0,0.0,,0.0,243.47299707880512,2013
272,Jega,Kebbi,Kebbi__Jega,1078.038394806205,12.308504,4.336993,71.42857142857143,71.42857142857143,108.86568,7.77612,55,1.8034146837302487,2.9002847810167696,0.0,304977.0,282.8999425895444,0.6834625322997416,0,0.0,,0.0,437.8047790988911,2013
273,Katsina,Katsina,Katsina__Katsina,141.8109754845102,13.017,7.623862,65.57377049180327,65.57377049180327,81.596833,5.350612,86,1.787384391561883,1.5366278639956652,1.0,481150.0,3392.8967652616934,0.5458656330749354,0,0.0,,0.0,4033.3882222511065,2013
274,Dawakin Kudu,Kano,Kano__Dawakin Kudu,444.8649882972348,11.8580595,8.641305,88.93280632411069,88.93280632411069,170.392393,15.093302,32,0.8940170701384329,3.167534011910969,0.0,357935.0,804.5924256031745,0.8527131782945736,0,0.0,,0.0,604.3887726376979,2013
